Peak#,Amplitude,Center (ppm),Width,Area
1,493332.9960758767,89.07984357795215,3.1622856830998245,3910490.181491137
2,12849587.909152616,79.67962956353279,3.2015173268511035,103118120.97893849
3,7361504.973840596,73.78316012786681,4.572044999999998,84365918.73454921
4,1304619.6043856512,62.53151011428616,4.572044999999998,14951485.044732228
