Peak#,Amplitude,Center (ppm),Width,Area
1,13631949.266422031,79.52421512113432,3.386684838110787,115723798.05928726
2,1169652.8507423552,61.86087131845163,4.572044999999998,13404709.730418246
3,6548478.125236956,73.10262462916191,4.572044999999998,75048291.79793164
